invasion_type	round	training_loss	training_rmse	validation_rmse	neg_count_val
established	0	9.813780784606934	5.229435920715332	5.465877532958984	14

established	1	4.432011604309082	3.4931814670562744	3.852682590484619	0

established	2	2.6441729068756104	2.121091365814209	2.568857192993164	0

established	3	1.9161300659179688	1.1265285015106201	1.6631886959075928	1

established	4	1.5247284173965454	0.7301923036575317	1.2595158815383911	2

established	5	1.2027771472930908	0.5272428393363953	1.05262291431427	2

established	6	0.9091640710830688	0.37771329283714294	0.9364909529685974	4

established	7	0.6585039496421814	0.2517071068286896	0.8729929327964783	5

established	8	0.4621584713459015	0.162446066737175	0.8628128170967102	3

established	9	0.32498833537101746	0.10780361294746399	0.8825572729110718	4

established	10	0.2410978525876999	0.08400045335292816	0.8948598504066467	3

established	11	0.18913868069648743	0.07736734300851822	0.8884916305541992	3

established	12	0.15712031722068787	0.07435066998004913	0.8791509866714478	4

established	13	0.13534219563007355	0.07355502992868423	0.8701572418212891	4

established	14	0.11949466168880463	0.07345857471227646	0.8610764145851135	4

established	15	0.10787884145975113	0.07312577217817307	0.8542291522026062	4

established	16	0.09809368848800659	0.0729999914765358	0.8462459444999695	5

established	17	0.09002643078565598	0.07335510849952698	0.8391944169998169	5

established	18	0.0831705704331398	0.07370761781930923	0.8318272233009338	5

established	19	0.07753437757492065	0.07366237789392471	0.8275987505912781	5

established	20	0.07226868718862534	0.073843814432621	0.8233911395072937	5

established	21	0.06771276146173477	0.07396849244832993	0.8190852403640747	5

established	22	0.06446725130081177	0.07437339425086975	0.8179683685302734	5

established	23	0.06119609624147415	0.074893057346344	0.8114147782325745	5

established	24	0.0582171231508255	0.07503598183393478	0.8092120885848999	5

established	25	0.055424999445676804	0.07610097527503967	0.8062983751296997	5

established	26	0.05356523394584656	0.076654352247715	0.8050721287727356	5

established	27	0.05108919367194176	0.07802434265613556	0.8048384189605713	5

established	28	0.04961549490690231	0.0784870833158493	0.8030831217765808	5

established	29	0.048640623688697815	0.0795510858297348	0.8016945719718933	5

established	30	0.04714251309633255	0.07963460683822632	0.8010685443878174	5

established	31	0.04538886621594429	0.08125369995832443	0.8034065365791321	5

established	32	0.043966472148895264	0.08211924880743027	0.7997000217437744	5

established	33	0.043280404061079025	0.08485881984233856	0.8021673560142517	5

established	34	0.041378188878297806	0.08359473198652267	0.8009890913963318	5

established	35	0.04033847525715828	0.08678829669952393	0.8003203272819519	5

established	36	0.04062167927622795	0.08942433446645737	0.800387442111969	5

established	37	0.03890012949705124	0.08824970573186874	0.8030223846435547	5

established	38	0.037683725357055664	0.09155241400003433	0.8032257556915283	5

established	39	0.03674967586994171	0.09370651096105576	0.8022276163101196	5

established	40	0.03653964772820473	0.09563722461462021	0.7980915307998657	5

established	41	0.0361492857336998	0.096702441573143	0.8018437623977661	5

established	42	0.03653300926089287	0.09595136344432831	0.7970902323722839	5

established	43	0.03605267032980919	0.10014032572507858	0.7991027235984802	5

established	44	0.03477421775460243	0.10004374384880066	0.7959458231925964	5

established	45	0.03626536577939987	0.10107586532831192	0.8033718466758728	5

established	46	0.033425066620111465	0.10258056968450546	0.8021793365478516	5

established	47	0.03551497310400009	0.10285154730081558	0.8123913407325745	5

established	48	0.034362759441137314	0.1044040396809578	0.8069530129432678	5

established	49	0.03466549515724182	0.10477908700704575	0.7995521426200867	5

